"Order","Bestellungen"
"Note: Will be visible in Customer Account and transactional Mails!","Hinweis: Wird im Kundenbereich und den Transaktionsmails angezeigt!"
"Send email to customer on new order","Sende email an den Kunden, wenn eine neue Bestellung eintrifft"
"Note: Shopgate also sends a order confirmation email to the customer!","Hinweis: Shopgate sendet ebenfalls eine Auftragsbestätigung per E-Mail an den Kunden!"
"New Order Status","Status für neue Bestellungen"
"[SHOPGATE] Order added by Shopgate.","[SHOPGATE] Bestellung durch Shopgate hinzugefügt."
"[SHOPGATE] Shopgate order number: %1","[SHOPGATE] Shopgate-Bestellnummer: %1"
"[SHOPGATE] Payment received.","[SHOPGATE] Die Zahlung wurde erhalten."
"Detects and fixes differences for order grand totals between Shopgate and Magento orders.","Erkennt und behebt Unterschiede bei den Bestellsummen zwischen Shopgate und Magento Bestellungen."
"Fix Order Total rounding issues","Rundungsfehler beheben"
"Rounding threshold in Cent","Schwellwert für Rundungsfehler in Cent"
"Only positive digits from 1 and 99 allowed.","Nur positive Zahlen zwischen 1 und 99 erlaubt."
